 出现次数, 连续组数
1,2
2,2
3,3
4,2
5,2
6,2
7,2
8,2
9,2
10,4
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,3
19,2
20,2
21,2
22,2
23,2
24,4
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,3
34,2
35,2
36,2
37,4
38,2
39,2
40,4
41,2
42,3
43,3
44,2
45,8
46,2
47,3
48,2
49,2
50,4
51,7
52,2
53,5
54,3
55,2
56,2
57,4
58,5
59,3
60,3
61,3
62,2
63,2
64,2
65,3
66,2
67,2
68,5
69,4
70,2
71,9
72,6
73,7
74,3
75,11
76,2
77,2
78,5
79,3
80,2
81,6
82,3
83,6
84,2
85,4
86,4
87,5
88,5
89,4
90,3
91,2
92,18
93,4
94,4
95,9
96,15
97,2
98,6
99,3
100,3
101,20
102,2
103,3
104,4
105,9
106,2
107,6
108,7
109,2
110,4
111,6
112,7
113,4
114,3
115,6
116,6
117,7
118,3
119,22
120,12
121,5
122,5
123,3
124,2
125,2
126,2
127,2
128,2
129,3
130,3
131,2
132,3
133,3
134,2
135,2
136,3
137,2
138,3
139,2
140,2
141,2
142,13
143,4
144,3
145,2
146,11
147,5
148,21
149,5
150,8
151,8
152,6
153,3
154,3
155,3
156,3
157,2
158,2
159,2
160,3
161,3
162,2
163,2
164,2
165,2
166,14
167,21
168,20
169,20
170,2
171,3
172,3
173,2
174,3
175,2
176,2
177,3
178,3
179,3
180,3
181,2
182,2
183,3
184,2
185,6
186,6
187,3
188,2
189,2
190,3
191,2
192,10
193,10
194,2
195,5
196,14
197,3
198,7
199,3
200,2
201,3
202,3
203,3
204,2
205,3
206,3
207,6
208,6
209,2
210,3
211,2
212,7
213,6
214,8
215,4
216,5
217,11
218,6
219,6
220,3
221,3
222,3
223,2
224,2
225,2
226,3
227,3
228,2
229,2
230,4
231,9
232,3
233,17
234,17
235,15
236,2
237,2
238,2
239,3
240,2
241,2
242,3
243,2
244,2
245,2
246,5
247,2
248,2
249,6
250,2
251,3
252,5
253,2
254,2
255,2
256,6
257,3
258,2
259,6
260,6
261,2
262,3
263,3
264,2
265,3
266,3
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,4
276,3
277,4
278,6
279,2
280,6
281,3
282,5
283,10
284,4
285,2
286,4
287,9
288,9
289,2
290,3
291,10
292,2
293,2
294,2
295,5
296,5
297,2
298,3
299,8
300,15
301,3
302,2
303,10
304,2
305,6
306,2
307,4
308,6
309,3
310,3
311,5
312,8
313,2
314,12
315,4
316,10
317,2
318,3
319,3
320,3
321,3
322,2
323,2
324,2
325,2
326,2
327,9
328,2
329,2
330,2
331,8
332,4
333,5
334,4
335,13
336,3
337,2
338,3
339,3
340,3
341,2
342,2
343,2
344,2
345,5
346,4
347,3
348,4
349,4
350,12
351,2
352,10
353,2
354,2
355,3
356,3
357,3
358,2
359,2
360,2
361,2
362,3
363,5
364,4
365,3
366,3
367,7
368,11
369,11
370,2
371,2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,4
381,5
382,2
383,7
384,10
385,2
386,3
387,2
388,3
389,3
390,2
391,3
392,9
393,3
394,2
395,9
396,9
397,2
398,2
399,3
400,2
401,2
402,2
403,2
404,4
405,8
406,2
407,6
408,8
409,2
410,3
411,2
412,2
413,3
414,2
415,2
416,2
417,2
418,3
419,3
420,3
421,2
422,7
423,7
424,3
425,3
426,3
427,2
428,2
429,2
430,6
431,6
432,6
433,5
434,2
435,2
436,4
437,2
438,4
439,5
440,5
441,2
442,4
443,4
444,2
445,2
446,4
447,3
448,2
449,3
450,2
451,3
452,3
453,2
454,2
455,2
456,2
457,2
458,2
459,24
460,2
461,3
462,3
